Time,u_control_output,T_Reactor_Temperature,Ca_Concentration_Reactor,op_Cooling_Jacket_Temperature,ie_Integral_of_Error
8.333333333333333703e-01,2.802169920761598405e+02,3.041542266277497788e+02,9.337739824685945544e-01,2.801155849193563654e+02,9.485911240834069003e-02
8.666666666666666963e-01,2.801155849193563654e+02,3.041564565448193207e+02,9.352376729808588030e-01,2.800919866744905562e+02,9.478478183935595824e-02
9.000000000000000222e-01,2.800919866744905562e+02,3.041571438522887547e+02,9.366521906923012120e-01,2.800847131977396884e+02,9.476187159037481600e-02
9.333333333333333481e-01,2.800847131977396884e+02,3.041575016677929284e+02,9.380192460801958232e-01,2.800809265915023047e+02,9.474994440690236164e-02
9.666666666666666741e-01,2.800809265915023047e+02,3.041577835100552534e+02,9.393404438245134269e-01,2.800779439771213788e+02,9.474054966482486906e-02
1.000000000000000000e+00,2.800779439771213788e+02,3.041580425519028381e+02,9.406173246572125946e-01,2.800752026496373901e+02,9.473191493657172335e-02
1.033333333333333215e+00,2.800752026496373901e+02,3.041582901281978479e+02,9.418513755191326720e-01,2.800725826571218136e+02,9.472366239340536398e-02
1.066666666666666652e+00,2.800725826571218136e+02,3.041585288301423020e+02,9.430440330397138471e-01,2.800700565780078932e+02,9.471570566192355489e-02
1.100000000000000089e+00,2.800700565780078932e+02,3.041587594156194427e+02,9.441966855747302434e-01,2.800676163919460464e+02,9.470801947935157672e-02
1.133333333333333304e+00,2.800676163919460464e+02,3.041589822524258580e+02,9.453106748983471919e-01,2.800652582067046978e+02,9.470059158580503011e-02
1.166666666666666741e+00,2.800652582067046978e+02,3.041591976198969860e+02,9.463872977805731779e-01,2.800629790661979541e+02,9.469341267010013274e-02
1.199999999999999956e+00,2.800629790661979541e+02,3.041594057721341642e+02,9.474278074996190790e-01,2.800607762813817203e+02,9.468647426219482799e-02
1.233333333333333393e+00,2.800607762813817203e+02,3.041596069514338296e+02,9.484334153010447466e-01,2.800586472881378199e+02,9.467976828553867352e-02
1.266666666666666607e+00,2.800586472881378199e+02,3.041598013913093155e+02,9.494052918074407099e-01,2.800565896152961045e+02,9.467328695635644775e-02
1.300000000000000044e+00,2.800565896152961045e+02,3.041599893173322471e+02,9.503445683807559830e-01,2.800546008757297614e+02,9.466702275559142621e-02
1.333333333333333259e+00,2.800546008757297614e+02,3.041601709475115172e+02,9.512523384389026671e-01,3.500000000000000000e+02,0.000000000000000000e+00
1.366666666666666696e+00,3.500000000000000000e+02,3.088334557454722926e+02,9.519424579611875936e-01,3.046752962671129126e+02,1.722181418175896261e-01
1.399999999999999911e+00,3.046752962671129126e+02,3.101010591093544235e+02,9.523349616623951741e-01,2.912607998348589149e+02,1.299646963548529432e-01
1.433333333333333348e+00,2.912607998348589149e+02,3.103726501095595722e+02,9.526299294144168206e-01,2.883866701132979529e+02,1.209116630146804955e-01
1.466666666666666563e+00,2.883866701132979529e+02,3.104310667168709870e+02,9.528959753515362507e-01,2.877684725029954507e+02,1.189644427709674740e-01
1.500000000000000000e+00,2.877684725029954507e+02,3.104436925948751309e+02,9.531488459050034834e-01,2.876348583139939592e+02,1.185435801708285553e-01
1.533333333333333215e+00,2.876348583139939592e+02,3.104464736186272376e+02,9.533921948778789623e-01,2.876054279462120462e+02,1.184508793790924469e-01
1.566666666666666652e+00,2.876054279462120462e+02,3.104471372873259156e+02,9.536270411705918271e-01,2.875984046283160183e+02,1.184287570891365132e-01
1.600000000000000089e+00,2.875984046283160183e+02,3.104473438809320101e+02,9.538538244004796107e-01,2.875962183378162536e+02,1.184218706355992384e-01
1.633333333333333304e+00,2.875962183378162536e+02,3.104474501131601301e+02,9.540728520488565012e-01,2.875950941282364965e+02,1.184183295613293607e-01
1.666666666666666741e+00,2.875950941282364965e+02,3.104475326770383958e+02,9.542843959275129073e-01,2.875942203905342467e+02,1.184155774320530541e-01
1.699999999999999956e+00,2.875942203905342467e+02,3.104476081171646342e+02,9.544887131571549999e-01,2.875934220404091093e+02,1.184130627611792302e-01
1.733333333333333393e+00,2.875934220404091093e+02,3.104476800566678776e+02,9.546860509145435048e-01,2.875926607358582032e+02,1.184106647777369986e-01
1.766666666666666607e+00,2.875926607358582032e+02,3.104477493409846147e+02,9.548766476840929718e-01,2.875919275299942228e+02,1.184083553005132045e-01
1.800000000000000044e+00,2.875919275299942228e+02,3.104478162166576567e+02,9.550607337507139860e-01,2.875912198137613132e+02,1.184061261114110197e-01
1.833333333333333259e+00,2.875912198137613132e+02,3.104478807993834835e+02,9.552385315219369399e-01,2.875905363627940687e+02,1.184039733538842509e-01
1.866666666666666696e+00,2.875905363627940687e+02,3.104479431746167961e+02,9.554102558059599515e-01,2.875898762727622398e+02,1.184018941794397067e-01
1.899999999999999911e+00,2.875898762727622398e+02,3.104480034192489484e+02,9.555761140731710013e-01,2.875892387299581969e+02,1.183998860250354279e-01
1.933333333333333348e+00,2.875892387299581969e+02,3.104480616063366938e+02,9.557363067071337204e-01,2.875886229612538614e+02,1.183979464554431177e-01
1.966666666666666563e+00,2.875886229612538614e+02,3.104481178061831770e+02,9.558910272467798785e-01,2.875880282226616487e+02,1.183960731272278022e-01
2.000000000000000000e+00,2.875880282226616487e+02,3.104481720866384649e+02,9.560404626201768341e-01,3.500000000000000000e+02,0.000000000000000000e+00
2.033333333333333215e+00,3.500000000000000000e+02,3.146417834018150188e+02,9.559011978184154268e-01,3.172862476560781033e+02,2.119405532728319552e-01
2.066666666666666430e+00,3.172862476560781033e+02,3.163493628092248287e+02,9.553079767850628512e-01,2.992156756450218040e+02,1.550212396925072234e-01
2.100000000000000089e+00,2.992156756450218040e+02,3.167304130464595460e+02,9.545444705421280984e-01,2.951831863084203746e+02,1.423195651180146348e-01
2.133333333333333304e+00,2.951831863084203746e+02,3.168156550508159057e+02,9.537626032669166420e-01,2.942811071597704995e+02,1.394781649728026596e-01
